No.,Name,Formula,CAS no.,molecular-weight,critical-temperature,critical-pressure,critical-molar-volume,critical-compressibility-factor,acentric-factor,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
172,Hexanoic acid,C6H12O2,142-62-1,116.158,660.2,3.308,0.408,0.246,0.7299,-511.9,-338,441,-32.3
173,1-Hexanol,C6H14O,111-27-3,102.175,611.3,3.446,0.382,0.259,0.5586,-316.2,-133.9,440.2,-36.75
174,2-Hexanol,C6H14O,626-93-7,102.175,585.3,3.311,0.385,0.262,0.5574,-334.6,-150.6,434.9,-36.7
175,2-Hexanone,C6H12O,591-78-6,100.159,587.61,3.287,0.378,0.254,0.3846,-279.826,-130.081,417.856,-34.9
176,3-Hexanone,C6H12O,589-38-8,100.159,582.82,3.32,0.378,0.259,0.3801,-277.6,-126,409.2,-34.92
177,1-Hexene,C6H12,592-41-6,84.159,504,3.21,0.348,0.267,0.2888,-41.67,87,386.3,-37.397
178,3-Hexyne,C6H10,928-49-4,82.144,544,3.53,0.331,0.258,0.2183,106,199,376,-36.4
179,Hexyl mercaptan,C6H14S,111-31-9,118.24,623,3.08,0.412,0.245,0.3681,-129.2,27.59,454.6,-41.762
180,1-Hexyne,C6H10,693-02-7,82.144,516.2,3.62,0.322,0.272,0.3327,123.7,218.5,369.4,-36.61
181,2-Hexyne,C6H10,764-35-2,82.144,549,3.53,0.331,0.256,0.2214,105,199,372,-36.4
182,Hydrazine,H4N2,302-01-2,32.045,653.15,14.7,0.158,0.428,0.3143,95.353,159.17,238.61,-5.342
183,Hydrogen,H2,1333-74-0,2.016,33.19,1.313,0.064147,0.305,-0.216,0,0,130.571,-2.4182
184,Hydrogen bromide,HBr,10035-10-6,80.912,363.15,8.552,0.1,0.283,0.0734,-36.29,-53.34,198.591,-0.6904
185,Hydrogen chloride,HCl,7647-01-0,36.461,324.65,8.31,0.081,0.249,0.1315,-92.31,-95.3,186.786,-0.286
186,Hydrogen cyanide,CHN,74-90-8,27.025,456.65,5.39,0.139,0.197,0.4099,135.143,124.725,201.719,-6.2329
187,Hydrogen fluoride,HF,7664-39-3,20.006,461.15,6.48,0.069,0.117,0.3823,-273.3,-275.4,173.67,1.524
188,Hydrogen sulfide,H2S,7783-06-04,34.081,373.53,8.963,0.0985,0.284,0.0942,-20.63,-33.44,205.6,-5.18
189,Isobutyric acid,C4H8O2,79-31-2,88.105,605,3.7,0.292,0.215,0.6141,-484.1,-362.1,341.2,-20.004
190,Isopropyl amine,C3H9N,75-31-0,59.11,471.85,4.54,0.221,0.256,0.2759,-83.8,31.92,312.4,-21.566
191,Malonic acid,C3H4O4,141-82-2,104.061,805,5.64,0.258,0.217,0.9418,-766.8,-670,370,-7.732
192,Methacrylic acid,C4H6O2,79-41-4,86.089,662,4.79,0.28,0.244,0.3318,-368,-288,350,-19.3
193,Methane,CH4,74-82-8,16.042,190.564,4.599,0.0986,0.286,0.0115,-74.52,-50.49,186.27,-8.0262
194,Methanol,CH4O,67-56-1,32.042,512.5,8.084,0.117,0.222,0.5658,-200.94,-162.32,239.88,-6.382
195,N-Methyl acetamide,C3H7NO,79-16-3,73.094,718,4.98,0.267,0.223,0.4351,-240,-135,320,-17.1
196,Methyl acetate,C3H6O2,79-20-9,74.079,506.55,4.75,0.228,0.257,0.3313,-411.9,-324.2,319.8,-14.61
197,Methyl acetylene,C3H4,74-99-7,40.064,402.4,5.63,0.164,0.276,0.2115,184.9,193.84,248.36,-18.487
198,Methyl acrylate,C4H6O2,96-33-3,86.089,536,4.25,0.27,0.258,0.3423,-333,-257,366,-19.303
199,Methyl amine,CH5N,74-89-5,31.057,430.05,7.46,0.154,0.321,0.2814,-22.97,32.07,243.3,-9.7508
200,Methyl benzoate,C8H8O2,93-58-3,136.148,693,3.59,0.436,0.272,0.4205,-287.9,-181,414,-37.72
201,"3-Methyl-1,2-butadiene",C5H8,598-25-4,68.117,490,3.83,0.291,0.274,0.1874,129.08,197.5,321.51,-30.32
202,2-Methylbutane,C5H12,78-78-4,72.149,460.4,3.38,0.306,0.27,0.2279,-153.7,-14.05,343.74,-32.3954
203,2-Methylbutanoic acid,C5H10O2,116-53-0,102.132,643,3.89,0.347,0.252,0.5894,-498,-349.9,390,-26.22
204,3-Methyl-1-butanol,C5H12O,123-51-3,88.148,577.2,3.93,0.329,0.269,0.5939,-303,-141,386.9,-30.62
205,2-Methyl-1-butene,C5H10,563-46-2,70.133,465,3.447,0.292,0.26,0.2341,-35.3,66.68,339.5,-31.159
206,2-Methyl-2-butene,C5H10,513-35-9,70.133,470,3.42,0.292,0.256,0.287,-41.8,60.45,338.6,-31.088
207,2-Methyl-1-butene-3-yne,C5H6,78-80-8,66.101,492,4.38,0.248,0.266,0.137,260,302.5,278,-29.3
208,Methylbutyl ether,C5H12O,628-28-4,88.148,512.74,3.371,0.329,0.26,0.313,-258.1,-101.7,390.1,-31.2818
209,Methylbutyl sulfide,C5H12S,628-29-5,104.214,593,3.47,0.36,0.253,0.3229,-102,26.91,411.8,-35.723
210,3-Methyl-1-butyne,C5H8,598-23-2,68.117,463.2,4.2,0.275,0.3,0.3081,138,207.2,318.9,-30.46
211,Methyl butyrate,C5H10O2,623-42-7,102.132,554.5,3.473,0.34,0.256,0.3775,-450.7,-305.3,398.8,-26.86
212,Methylchlorosilane,CH5ClSi,993-00-0,80.589,442,4.17,0.246,0.279,0.2252,-215,-166.1,298.277,-16.93
213,Methylcyclohexane,C7H14,108-87-2,98.186,572.1,3.48,0.369,0.27,0.2361,-154.8,27.33,343.3,-42.5714
214,1-Methylcyclohexanol,C7H14O,590-67-0,114.185,686,4,0.374,0.262,0.2213,-332,-129,375,-40.58
215,cis-2-Methylcyclohexanol,C7H14O,7443-70-1,114.185,614,3.79,0.374,0.278,0.6805,-327,-126.8,385.3,-40.574
216,trans-2-Methylcyclohexanol,C7H14O,7443-52-9,114.185,617,3.79,0.374,0.276,0.679,-352.6,-152.4,385.3,-40.318
217,Methylcyclopentane,C6H12,96-37-7,84.159,532.7,3.79,0.319,0.273,0.2288,-106.2,36.3,339.9,-36.741
218,1-Methylcyclopentene,C6H10,693-89-0,82.144,542,4.13,0.303,0.278,0.2318,-3.8,103.8,326.4,-35.34
219,3-Methylcyclopentene,C6H10,1120-62-3,82.144,526,4.13,0.303,0.286,0.2296,7.4,113.8,330.5,-35.464
220,Methyldichlorosilane,CH4Cl2Si,75-54-7,115.034,483,3.95,0.289,0.284,0.2758,-402,-348.3,328.7,-13.57
221,Methylethyl ether,C3H8O,540-67-0,60.095,437.8,4.4,0.221,0.267,0.2314,-216.4,-117.1,308.81,-19.314
222,Methylethyl ketone,C4H8O,78-93-3,72.106,535.5,4.15,0.267,0.249,0.3234,-239,-147,339.4,-22.68
223,Methylethyl sulfide,C3H8S,624-89-5,76.161,533,4.26,0.254,0.244,0.2091,-59.6,11.47,333.2,-23.54
224,Methyl formate,C2H4O2,107-31-3,60.052,487.2,6,0.172,0.255,0.2556,-352.4,-295,285.2,-8.924
225,Methylisobutyl ether,C5H12O,625-44-5,88.148,497,3.41,0.329,0.272,0.3078,-266,-107,381,-31.22
226,Methylisobutyl ketone,C6H12O,108-10-1,100.159,574.6,3.27,0.369,0.253,0.3557,-286.4,-135.1,412.9,-34.762
227,Methyl Isocyanate,C2H3NO,624-83-9,57.051,488,5.48,0.202,0.273,0.3007,-62.4,0.244,195.5,-10.6
228,Methylisopropyl ether,C4H10O,598-53-8,74.122,464.48,3.762,0.276,0.269,0.2656,-252,-121.8,341.6,-25.311
229,Methylisopropyl ketone,C5H10O,563-80-4,86.132,553.4,3.8,0.31,0.256,0.3208,-262.6,-139.3,369.9,-28.77
230,Methylisopropyl sulfide,C4H10S,1551-21-9,90.187,553.1,4.021,0.328,0.28718,0.2461,-89.6,14.509,359,-29.57
231,Methyl mercaptan,CH4S,74-93-1,48.107,469.95,7.23,0.145,0.268,0.1582,-22.9,-9.8,255,-11.517
232,Methyl methacrylate,C5H8O2,80-62-6,100.116,566,3.68,0.323,0.253,0.2802,-360,-254,401,-25.4
233,2-Methyloctanoic acid,C9H18O2,3004-93-1,158.238,694,2.54,0.572,0.252,0.7913,-579.5,-318,553.3,-50.56
234,2-Methylpentane,C6H14,107-83-5,86.175,497.7,3.04,0.368,0.27,0.2791,-174.55,-5.338,380.89,-38.4915
235,Methyl pentyl ether,C6H14O,628-80-8,102.175,546.49,3.042,0.38,0.254,0.3442,-278,-93.5,432,-37.39
236,2-Methylpropane,C4H10,75-28-5,58.122,407.8,3.64,0.259,0.278,0.1835,-134.99,-21.44,295.5,-26.4895
237,2-Methyl-2-propanol,C4H10O,75-65-0,74.122,506.2,3.972,0.275,0.26,0.6152,-312.4,-177.6,326.3,-24.239
238,2-Methyl propene,C4H8,115-11-7,56.106,417.9,4,0.239,0.275,0.1948,-17.1,58.08,293.09,-25.242
239,Methyl propionate,C4H8O2,554-12-1,88.105,530.6,4.004,0.282,0.256,0.3466,-427.5,-311,359.6,-20.78
240,Methylpropyl ether,C4H10O,557-17-5,74.122,476.25,3.801,0.276,0.265,0.277,-238.2,-111,352,-25.1739
241,Methylpropyl sulfide,C4H10S,3877-15-4,90.187,565,3.97,0.307,0.259,0.2737,-82.3,17.93,371.7,-29.62
242,Methylsilane,CH6Si,992-94-9,46.144,352.5,4.7,0.205,0.329,0.1314,-29.1,18.53,256.5,-19.99
243,alpha-Methyl styrene,C9H10,98-83-9,118.176,654,3.36,0.399,0.247,0.323,118.3,217.3,372.5,-48.214
244,Methyl tert-butyl ether,C5H12O,1634-04-4,88.148,497.1,3.287,0.314,0.25,0.2466,-283.2,-117,357.8,-31.05
245,Methyl vinyl ether,C3H6O,107-25-5,58.079,437,4.67,0.21,0.27,0.2416,-108,-47.3,308,-17.7431
246,Naphthalene,C10H8,91-20-3,128.171,748.4,4.05,0.407,0.265,0.302,150.58,224.08,333.15,-49.809
247,Neon,Ne,7440-01-09,20.18,44.4,2.653,0.0417,0.3,-0.0396,0,0,146.219,0
248,Nitroethane,C2H5NO2,79-24-3,75.067,593,5.16,0.236,0.247,0.3803,-102.1,-6.125,316.8,-12.5
249,Nitrogen,N2,7727-37-9,28.013,126.2,3.4,0.08921,0.289,0.0377,0,0,191.5,0
250,Nitrogen trifluoride,F3N,7783-54-2,71.002,234,4.461,0.11875,0.272,0.12,-132.089,-90.6,260.62,0
251,Nitromethane,CH3NO2,75-52-5,61.04,588.15,6.31,0.173,0.223,0.348,-74.7,-6.934,275.1,-6.432
252,Nitrous oxide,N2O,10024-97-2,44.013,309.57,7.245,0.0974,0.274,0.1409,82.05,104.16,219.85,-0.820482
253,Nitric oxide,NO,10102-43-9,30.006,180.15,6.48,0.058,0.251,0.5829,90.25,86.57,210.6,-0.902489
254,Nonadecane,C19H40,629-92-5,268.521,758,1.21,1.26,0.242,0.8522,-435.79,107.4,898.66,-117.812
255,Nonanal,C9H18O,124-19-6,142.239,658,2.73,0.527,0.263,0.5117,-310.9,-75.53,539.88,-53.5
256,Nonane,C9H20,111-84-2,128.255,594.6,2.29,0.551,0.255,0.4435,-228.74,24.98,506.4,-56.8455
257,Nonanoic acid,C9H18O2,112-05-0,158.238,710.7,2.514,0.584,0.248,0.7724,-577.3,-317,559,-50.61
258,1-Nonanol,C9H20O,143-08-8,144.255,670.9,2.527,0.576,0.261,0.5841,-377.9,-108.6,557.9,-55.06
259,2-Nonanol,C9H20O,628-99-9,144.255,649.5,2.541,0.577,0.271,0.5911,-397.1,-126.1,552.3,-55.06
260,1-Nonene,C9H18,124-11-8,126.239,593.1,2.428,0.524,0.258,0.4367,-103.5,112.3,504.1,-55.716
261,Nonyl mercaptan,C9H20S,1455-21-6,160.32,681,2.31,0.571,0.233,0.526,-190.8,52.8,572.4,-60.06
262,1-Nonyne,C9H16,3452-09-03,124.223,598.05,2.61,0.497,0.261,0.471,61.7,243.4,486.99,-54.93
263,Octadecane,C18H38,593-45-3,254.494,747,1.27,1.19,0.243,0.8114,-415.12,99.1,859.45,-111.715
264,Octanal,C8H16O,124-13-0,128.212,638.9,2.96,0.488,0.272,0.4636,-290.2,-83.77,500.63,-47.4
265,Octane,C8H18,111-65-9,114.229,568.7,2.49,0.486,0.256,0.3996,-208.75,16,467.23,-50.7415
266,Octanoic acid,C8H16O2,124-07-2,144.211,694.26,2.779,0.523,0.252,0.7706,-556,-325,520,-44.48
267,1-Octanol,C8H18O,111-87-5,130.228,652.3,2.783,0.509,0.261,0.5697,-357.3,-117,518.7,-48.95
268,2-Octanol,C8H18O,123-96-6,130.228,629.8,2.749,0.512,0.269,0.5807,-376.2,-134.3,513.2,-48.94
269,2-Octanone,C8H16O,111-13-7,128.212,632.7,2.64,0.497,0.249,0.4549,-321.6,-113.8,496.2,-46.984
270,3-Octanone,C8H16O,106-68-3,128.212,627.7,2.704,0.497,0.257,0.4406,-339,-128.1,487.9,-47.11
271,1-Octene,C8H16,111-66-0,112.213,566.9,2.663,0.464,0.262,0.3921,-81.94,105.7,463.7,-49.61
272,Octyl mercaptan,C8H18S,111-88-6,146.294,667.3,2.52,0.518,0.235,0.4497,-170.1,44.57,533.1,-53.962
273,1-Octyne,C8H14,629-05-0,110.197,574,2.88,0.442,0.267,0.4233,82.3,235,447.8,-48.8145
274,Oxalic acid,C2H2O4,144-62-7,90.035,804,7.02,0.205,0.215,0.9176,-723.7,-661.4,343.3,-1.989
275,Oxygen,O2,7782-44-7,31.999,154.58,5.043,0.0734,0.288,0.0222,0,0,205.043,0
276,Ozone,O3,10028-15-6,47.998,261,5.57,0.089,0.228,0.2119,142.671,163.164,238.823,-1.42671
277,Pentadecane,C15H32,629-62-9,212.415,708,1.48,0.969,0.244,0.6863,-353.11,74.26,741.81,-93.4237
278,Pentanal,C5H10O,110-62-3,86.132,566.1,3.97,0.313,0.264,0.3472,-227.8,-107.1,382.89,-29.1
279,Pentane,C5H12,109-66-0,72.149,469.7,3.37,0.313,0.27,0.2515,-146.76,-8.813,349.45,-32.4494
280,Pentanoic acid,C5H10O2,109-52-4,102.132,639.16,3.63,0.35,0.239,0.7052,-491.3,-347,402,-26.17
281,1-Pentanol,C5H12O,71-41-0,88.148,588.1,3.897,0.326,0.258,0.5748,-295.7,-142.3,401,-30.64
282,2-Pentanol,C5H12O,6032-29-7,88.148,561,3.7,0.326,0.259,0.5549,-313.7,-158.8,395.8,-30.58
283,2-Pentanone,C5H10O,107-87-9,86.132,561.08,3.694,0.301,0.238,0.3433,-259.2,-138.3,378.6,-28.7956
284,3-Pentanone,C5H10O,96-22-0,86.132,560.95,3.74,0.336,0.269,0.3448,-257.9,-134.4,370,-28.804
285,1-Pentene,C5H10,109-67-1,70.133,464.8,3.56,0.293,0.27,0.2372,-21.62,78.37,346.2,-31.3037
286,2-Pentyl mercaptan,C5H12S,2084-19-7,104.214,584.3,3.536,0.385,0.28,0.2685,-113,18.14,405,-35.64
287,Pentyl mercaptan,C5H12S,110-66-7,104.214,598,3.47,0.359,0.251,0.3207,-108.4,19.4408,415.4,-35.641
288,1-Pentyne,C5H8,627-19-0,68.117,481.2,4.17,0.277,0.289,0.2899,144.4,210.3,329.8,-30.51
289,2-Pentyne,C5H8,627-21-4,68.117,519,4.03,0.276,0.258,0.1752,128.9,194.5,330.84,-30.291
290,Phenanthrene,C14H10,1985-01-08,178.229,869,2.9,0.554,0.222,0.4707,201.2,302.19,394.5,-68.282
291,Phenol,C6H6O,108-95-2,94.111,694.25,6.13,0.229,0.243,0.4435,-96.399,-32.637,314.81,-29.21
292,Phenyl isocyanate,C7H5NO,103-71-9,119.121,653,4.06,0.37,0.277,0.4123,-14.54,48.7212,352.7,-32.98
293,Phthalic anhydride,C8H4O3,85-44-9,148.116,791,4.72,0.421,0.302,0.7025,-371.4,-307.001,399.5,-31.715
294,Propadiene,C3H4,463-49-0,40.064,394,5.25,0.165,0.264,0.1041,190.5,200.8,243.9,-18.563
295,Propane,C3H8,74-98-6,44.096,369.83,4.248,0.2,0.276,0.1523,-104.68,-24.39,270.2,-20.4311
296,1-Propanol,C3H8O,71-23-8,60.095,536.8,5.169,0.219,0.254,0.6209,-254.6,-159.9,322.6,-18.44
297,2-Propanol,C3H8O,67-63-0,60.095,508.3,4.765,0.222,0.25,0.6544,-272.1,-175.2,317.5,-18.34
298,Propenylcyclohexene,C3H14,13511-13-2,122.207,636,3.12,0.437,0.258,0.342,46.77,208.5,423.3,-52.32
299,Propionaldehyde,C3H6O,123-38-6,58.079,504.4,4.92,0.204,0.239,0.2559,-186.3,-124.6,304.4,-16.857
300,Propionic acid,C3H6O2,1979-09-04,74.079,600.81,4.668,0.235,0.22,0.5796,-479.9,-385,294.9,-13.95
301,Propionitrile,C3H5N,107-12-0,55.079,564.4,4.18,0.229,0.204,0.3243,51.8,97.4949,286.14,-18.007
302,Propyl acetate,C5H10O2,109-60-4,102.132,549.73,3.36,0.345,0.254,0.3889,-464.8,-320.4,402.3,-26.72
303,Propyl amine,C3H9N,107-10-8,59.11,496.95,4.74,0.26,0.298,0.2798,-70.5,41.7,324.2,-21.65
304,Propylbenzene,C9H12,103-65-1,120.192,638.35,3.2,0.44,0.265,0.3444,7.9,137.6,400.14,-49.5415
305,Propylene,C3H6,115-07-1,42.08,364.85,4.6,0.185,0.281,0.1376,20.23,62.64,267,-19.262
306,Propyl formate,C4H8O2,110-74-7,88.105,538,4.02,0.285,0.256,0.3088,-407.6,-293.6,367.8,-20.41
307,2-Propyl mercaptan,C3H8S,75-33-2,76.161,517,4.75,0.254,0.281,0.2138,-75.9,-2.18,324.3,-23.398
308,Propyl mercaptan,C3H8S,107-03-9,76.161,536.6,4.63,0.254,0.264,0.2318,-67.5,2.583,336.5,-23.458
309,"1,2-Propylene glycol",C3H8O2,57-55-6,76.094,626,6.1,0.239,0.28,1.1065,-421.5,-304,352,-16.476
310,Quinone,C6H4O2,106-51-4,108.095,683,5.96,0.291,0.305,0.4945,-122.9,-69.2,320.5,-26.58
311,Silicon tetrafluoride,F4Si,7783-61-1,104.079,259,3.72,0.202,0.349,0.3858,-1614.94,-1572.7,282.651,7.055
312,Styrene,C8H8,100-42-5,104.149,636,3.84,0.352,0.256,0.2971,147.4,213.9,345.1,-42.19
313,Succinic acid,C4H6O4,110-15-6,118.088,806,4.71,0.317,0.223,0.9922,-822.9,-697.3,403.4,-13.591
314,Sulfur dioxide,O2S,7446-09-05,64.064,430.75,7.884,0.122,0.269,0.2454,-296.84,-300.12,248.1,0
315,Sulfur hexafluoride,F6S,2551-62-4,146.055,318.69,3.76,0.19852,0.282,0.2151,-1220.47,-1116.53,291.625,9.24
316,Sulfur trioxide,O3S,7446-11-09,80.063,490.85,8.21,0.127,0.255,0.424,-395.72,-370.95,256.51,1.422
317,Terephthalic acid,C8H6O4,100-21-0,166.131,1113,3.95,0.424,0.181,1.0591,-717.9,-599,448,-30.576
318,o-Terphenyl,C18H14,84-15-1,230.304,857,2.99,0.731,0.307,0.5513,276.6,423,526.3,-90.53
319,Tetradecane,C14H30,629-59-4,198.388,693,1.57,0.897,0.244,0.643,-332.44,65.99,702.59,-87.3282
320,Tetrahydrofuran,C4H8O,109-99-9,72.106,540.15,5.19,0.224,0.259,0.2254,-184.18,-79.69,297.29,-23.25
321,"1,2,3,4-Tetrahydronaphthalene",C10H12,119-64-2,132.202,720,3.65,0.408,0.249,0.3353,26.61,167.1,369.64,-53.575
322,Tetrahydrothiophene,C4H8S,110-01-0,88.171,631.95,5.16,0.249,0.245,0.1996,-33.76,45.9,310,-27.6549
323,"2,2,3,3-Tetramethylbutane",C8H18,594-82-1,114.229,568,2.87,0.461,0.28,0.245,-225.6,22.39,389.3,-50.639
324,Thiophene,C4H4S,110-02-1,84.14,579.35,5.69,0.219,0.259,0.197,115.44,126.7,278.4,-24.352
325,Toluene,C7H8,108-88-3,92.138,591.75,4.108,0.316,0.264,0.264,50.17,122.2,320.99,-37.34
326,"1,1,2-Trichloroethane",C2H3Cl3,79-00-5,133.404,602,4.48,0.281,0.252,0.2591,-142,-80.97,337.1,-9.685
327,Tridecane,C13H28,629-50-5,184.361,675,1.68,0.826,0.247,0.6174,-311.77,57.71,663.37,-81.229
328,Triethyl amine,C6H15N,121-44-8,101.19,535.15,3.04,0.39,0.266,0.3162,-95.8,114.1,405.4,-40.405
329,Trimethyl amine,C3H9N,75-50-3,59.11,433.25,4.07,0.254,0.287,0.2062,-24.31,98.99,287,-22.449
330,"1,2,3-Trimethylbenzene",C9H12,526-73-8,120.192,664.5,3.454,0.414,0.259,0.3666,-9.5,126.1,380.5,-49.34
331,"1,2,4-Trimethylbenzene",C9H12,95-63-6,120.192,649.1,3.232,0.43,0.258,0.3787,-13.8,117.1,396.1,-49.307
332,"2,2,4-Trimethylpentane",C8H18,540-84-1,114.229,543.8,2.57,0.468,0.266,0.3035,-224.01,13.94,422.96,-50.6528
333,"2,3,3-Trimethylpentane",C8H18,560-21-4,114.229,573.5,2.82,0.455,0.269,0.2903,-218.45,18.28,427.02,-50.6876
334,"1,3,5-Trinitrobenzene",C6H3N3O6,99-35-4,213.105,846,3.39,0.479,0.231,0.8623,62.4,267.9,443.5,-26.867
335,"2,4,6-Trinitrotoluene",C7H5N3O6,118-96-7,227.131,828,3.04,0.572,0.253,0.8972,43.4,284.4,460.7,-32.959
336,Undecane,C11H24,1120-21-4,156.308,639,1.95,0.685,0.252,0.5303,-270.43,41.16,584.93,-69.036
337,1-Undecanol,C11H24O,112-42-5,172.308,703.9,2.119,0.715,0.259,0.6236,-419,-91.77,636.3,-67.26
338,Vinyl acetate,C4H6O2,108-05-4,86.089,519.13,3.958,0.27,0.248,0.3513,-314.9,-227.9,328,-19.5
339,Vinyl acetylene,C4H4,689-97-4,52.075,454,4.86,0.205,0.264,0.1069,304.6,306,279.4,-23.62
340,Vinyl chloride,C2H3Cl,1975-01-04,62.498,432,5.67,0.179,0.283,0.1001,28.45,41.95,273.54,-11.78
341,Vinyl trichlorosilane,C2H3Cl3Si,75-94-5,161.49,543.15,3.06,0.408,0.276,0.2815,-481.16,-425.514,373.966,-15.44
342,Water,H2O,7732-18-5,18.015,647.096,22.064,0.0559472,0.229,0.3449,-241.814,-228.59,188.724,0
343,m-Xylene,C8H10,108-38-3,106.165,617,3.541,0.375,0.259,0.3265,17.32,118.76,358.54,-43.318
344,o-Xylene,C8H10,95-47-6,106.165,630.3,3.732,0.37,0.264,0.3101,19.08,122,353.83,-43.33
345,p-Xylene,C8H10,106-42-3,106.165,616.2,3.511,0.378,0.259,0.3218,18.03,121.4,352.165,-43.33
